vessel,arrival_estimate,country_of_origin
CAUTIN,2026-09-10 02:01,Liberia
RANGAKU,2026-09-10 02:49,Liberia
PORTO GERMENO,2026-09-11 12:13,Liberia
STEEL,2026-09-11 19:41,Marshall Islands
MSC ORIANE,2026-09-12 23:05,Panama
TUCAPEL,2026-09-13 01:17,Liberia
BULK ANTIGUA,2026-09-13 05:40,Liberia
DORTMUND EXPRESS,2026-09-13 06:07,Liberia
PHILOXENIA,2026-09-14 14:52,Marshall Islands
CMA CGM NILE,2026-09-15 01:54,Malta
ORANGE STAR,2026-09-15 05:56,Liberia
MEDI CABOTO,2026-09-16 12:55,Liberia
NORDIC MALMOE,2026-09-16 16:07,Liberia
EMMA A,2026-09-16 18:54,Malta
LR1 AMBASSADOR,2026-09-17 07:33,Liberia
TOLTEN,2026-09-18 18:19,Liberia
SAMSUN,2026-09-18 19:16,Malta
XANTHOS,2026-09-19 04:20,Liberia
PUSAN C,2026-09-19 21:25,Cyprus
CABO SAN VICENTE,2026-09-20 00:53,Panama
KOTKA,2026-09-21 11:03,Liberia
MSC ROWAN,2026-09-21 19:16,Liberia
STOLT SYCAMORE,2026-09-23 15:08,Liberia
