vessel,arrival_estimate,country_of_origin
ODYSSEY OF THE SEAS,2026-03-15 09:06,BS
MSC MERAVIGLIA,2026-03-15 09:17,MT
CMA CGM PHOENIX,2026-03-15 10:22,US
ALTAMIRA EXPRESS,2026-03-15 10:31,SG
ELLEN MCALLISTER,2026-03-15 10:49,US
JAMES CHARLES,2026-03-15 11:57,US
AMIS YOUTH,2026-03-15 16:47,LR
MAERSK FREDERICIA,2026-03-15 23:26,SG
MSC ORIANE,2026-03-16 00:50,PA
PEARL COAST,2026-03-16 11:32,US
CMA CGM PASSION,2026-03-16 12:40,MT
ONE CONTINUITY,2026-03-16 13:59,SG
KENDALL J HEBERT,2026-03-16 17:42,US
KIMBERLY C,2026-03-16 20:55,US
COMET,2026-03-16 22:41,US
MAERSK KENSINGTON,2026-03-17 03:19,US
THOMAS DANN,2026-03-17 16:07,US
MSC ANCHORAGE,2026-03-17 19:52,LR
CAPE HATTERAS,2026-03-17 23:07,US
ONE MANEUVER,2026-03-18 01:23,JP
TENO,2026-03-18 04:38,LR
KINGSTON,2026-03-18 09:22,MT
MAERSK PITTSBURGH,2026-03-18 13:41,US
SEASPAN EMISSARY,2026-03-18 19:09,SG
BSG BAHAMAS,2026-03-18 19:14,LR
MAERSK MEMPHIS,2026-03-19 03:46,SG
SOARING EAGLE,2026-03-20 15:40,US
CAPE HELLAS,2026-03-21 01:59,MH
PRAGUE EXPRESS,2026-03-25 05:26,LR
MSC ARCHIMIDIS VIII,2026-03-26 11:18,CY
UMM SALAL,2026-03-29 19:53,LR
KYOTO EXPRESS,2026-03-30 13:24,LR
STI SOLACE,2026-04-18 21:08,MH
